r;a;b;c;d;e;f;g;h
1;0.000;0.001;0.004;0.016;2.706;3.841;5.024;6.635
2;0.020;0.051;0.103;0.211;4.605;5.991;7.378;9.210
3;0.115;0.216;0.352;0.584;6.251;7.815;9.348;11.34
4;0.297;0.484;0.711;1.064;7.779;9.488;11.14;13.28
5;0.554;0.831;1.145;1.610;9.236;11.07;12.83;15.09
6;0.872;1.237;1.635;2.204;10.64;12.59;14.45;16.81
7;1.239;1.690;2.167;2.833;12.02;14.07;16.01;18.48
8;1.646;2.180;2.733;3.490;13.36;15.51;17.53;20.09
9;2.088;2.700;3.325;4.168;14.68;16.92;19.02;21.67
10;2.558;3.247;3.940;4.865;15.99;18.31;20.48;23.21
