x;area;probability
0.001;0.999999998;4.20312E-06
0.2;0.999113861;0.010762282
0.4;0.995329593;0.027543549
0.6;0.988003243;0.045785435
0.8;0.977033344;0.063783155
1;0.962565773;0.080656908
1.2;0.944877365;0.095936527
1.4;0.924313273;0.109389271
1.6;0.901249345;0.120929762
1.8;0.8760684;0.130566732
2;0.849145036;0.138369166
2.2;0.820835969;0.144443799
2.4;0.791474121;0.148919749
2.6;0.761365268;0.15193786
2.8;0.730786487;0.153643285
3;0.699985836;0.15418033
3.2;0.669182902;0.153688937
3.4;0.638569923;0.152302337
3.6;0.608313292;0.15014556
3.8;0.578555291;0.14733458
4;0.549415951;0.143975911
4.2;0.520994953;0.140166534
4.4;0.493373524;0.135994068
4.6;0.466616274;0.131537096
4.8;0.440772968;0.12686561
5;0.415880187;0.122041521
5.2;0.391962892;0.117119221
5.4;0.36903587;0.112146145
5.6;0.347105068;0.107163355
5.8;0.326168814;0.102206097
6;0.306218918;0.097304347
6.2;0.287241683;0.092483328
6.4;0.269218799;0.087764004
6.6;0.252128151;0.083163532
6.8;0.235944538;0.078695689
7;0.220640308;0.074371268
7.2;0.20618592;0.070198434
7.4;0.192550433;0.066183055
7.6;0.179701939;0.062329001
7.8;0.167607931;0.058638417
8;0.156235628;0.055111961
8.2;0.145552243;0.05174903
8.4;0.135525223;0.048547952
8.6;0.126122441;0.045506163
8.8;0.117312358;0.042620359
9;0.109064158;0.039886636
9.2;0.101347856;0.03730061
9.4;0.094134384;0.034857523
9.6;0.087395653;0.032552335
9.8;0.081104606;0.030379804
10;0.075235246;0.028334555
10.2;0.069762661;0.026411144
10.4;0.064663031;0.024604102
10.6;0.059913626;0.022907983
10.8;0.055492802;0.0213174
11;0.051379983;0.019827054
11.2;0.047555644;0.018431757
11.4;0.044001281;0.017126458
11.6;0.040699389;0.01590625
11.8;0.037633425;0.014766392
12;0.034787781;0.01370231
12.2;0.032147743;0.01270961
12.4;0.029699459;0.011784076
12.6;0.027429903;0.010921679
12.8;0.025326836;0.010118569
13;0.023378768;0.009371081
13.2;0.021574928;0.008675732
13.4;0.01990522;0.008029213
13.6;0.018360196;0.00742839
13.8;0.016931016;0.006870297
14;0.015609416;0.006352132
14.2;0.014387678;0.005871249
14.4;0.013258597;0.005425157
14.6;0.012215453;0.005011507
14.8;0.011251979;0.004628094
15;0.010362338;0.004272844
15.2;0.009541094;0.003943811
15.4;0.008783187;0.00363917
15.6;0.008083914;0.003357212
15.8;0.007438897;0.003096336
16;0.006844074;0.002855045
16.2;0.006295667;0.00263194
16.4;0.005790173;0.002425715
16.6;0.005324337;0.00223515
16.8;0.004895145;0.002059108
17;0.004499797;0.001896527
17.2;0.004135702;0.001746421
17.4;0.003800458;0.001607869
17.6;0.003491841;0.001480016
17.8;0.003207792;0.001362065
18;0.002946405;0.001253277
18.2;0.002705916;0.001152965
18.4;0.002484696;0.001060489
18.6;0.002281238;0.000975258
18.8;0.002094147;0.000896721
19;0.001922137;0.000824369
19.2;0.001764019;0.000757729
19.4;0.001618694;0.000696362
19.6;0.001485149;0.000639863
19.8;0.001362449;0.000587856
20;0.001249731;0.000539994
